CO_ENTIDADE;NO_ENTIDADE;CO_MUNICIPIO;NO_MUNICIPIO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;TP_DEPENDENCIA
31023710;EM BELITA TAMEIRAO;3121605;Diamantina;TRAVESSA MERCEDES MOURAO;77;PREDIO;CENTRO;39100000;1;3
31023728;CONSERVATORIO ESTADUAL MUSICA LOBO DE MESQUITA;3121605;Diamantina;PRACA CORONEL COSME ALVES COUTO;S/N;;CENTRO;39100000;1;2
31023736;EE PROFESSORA AYNA TORRES;3121605;Diamantina;R PROF PAULINO GUIMARAES JUNIOR;0;;TRAV DA GLORIA;39100000;1;2
31023752;EE JOAQUIM FELICIO DOS SANTOS;3121605;Diamantina;R NAZARE;233;;LARGO DOM JOAO;39100000;1;2
31023761;EE PROFESSOR JOSE AUGUSTO NEVES;3121605;Diamantina;TRAVESSA CORONEL CAETANO MASCARENHAS;150;;RIO GRANDE;39100000;1;2
31023779;EE MARIA AUGUSTA CALDEIRA BRANT;3121605;Diamantina;R ENOLOGIA;303;;BELA VISTA;39100000;1;2
31023787;EE MATTA MACHADO;3121605;Diamantina;R MACAU DE BAIXO;307;;CENTRO;39100000;1;2
31023795;EE PROFESSOR GABRIEL MANDACARU;3121605;Diamantina;R DAS CAMELIAS;311;;BOM JARDIM;39100000;1;2
31023809;EE PROFESSOR LEOPOLDO MIRANDA;3121605;Diamantina;R MACAU DO MEIO;338;;CENTRO;39100000;1;2
31023817;EE PROFESSORA GABRIELA NEVES;3121605;Diamantina;R DA PALHA;1666;;PALHA;39100000;1;2
31023825;EE PROFESSORA ISABEL MOTTA;3121605;Diamantina;R ELVIRA RAMOS COUTO;319;;BOM JESUS;39100000;1;2
31023833;EE PROFESSORA JULIA KUBITSCHEK;3121605;Diamantina;R JOGO DA BOLA;120;;CENTRO;39100000;1;2
31023841;COLEGIO TIRADENTES PMMG;3121605;Diamantina;ALAMEDA MONSENHOR WALTER DE ALMEIDA;S/N;;ROMANA;39100000;1;2
31023850;CESEC JUSCELINO KUBITSCHEK DE OLIVEIRA;3121605;Diamantina;RUA DA GLORIA;132;;CENTRO;39100000;1;2
31023868;EE PROFESSOR AIRES DA MATTA MACHADO;3121605;Diamantina;RUA ZECA BRUNO;651;PREDIO;CAZUZA;39100000;1;2
31026699;IFNMG - CAMPUS DIAMANTINA;3121605;Diamantina;FAZENDA BIRIBIRI;S/N;KM 624 RODOVIA 367;ZONA RURAL;39100000;1;1
31031674;COLEGIO DIAMANTINENSE;3121605;Diamantina;RUA DA GLORIA;152;;CENTRO;39100000;1;4
31031682;COL N SRA DAS DORES;3121605;Diamantina;R DA GLORIA;394;;CENTRO;39100000;2;4
31031691;CENTRO EDUCACIONAL NADIA SANTOS ROCHA;3121605;Diamantina;RUA DO TIJUCO;473;;FATIMA;39100000;1;4
31215023;ESCOLA ACALANTO DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;3121605;Diamantina;RUA TIRADENTES;310;;VILA OPERARIA;39100000;1;4
31236217;EM DOUTOR JOAO ANTUNES DE OLIVEIRA;3121605;Diamantina;RUA DA GLORIA;469;;CENTRO;39100000;2;3
31275085;EM PLACEDINO MOREIRA AMORIM;3121605;Diamantina;POV BOA VISTA;0;;;39100000;2;3
31280119;COL JK;3121605;Diamantina;R JOAQUIM FELICIO;80;;CENTRO;39100000;3;4
